date,amount,category
20060608,0.9,Housing
20060919,0.9,Housing
20061207,1.1,Housing
20070308,1.3,Housing
20070608,1.6,Housing
20070919,1.8,Housing
20071207,2.2,Housing
20080308,2.9,Housing
20080608,3.9,Housing
20080919,4.2,Housing
20081207,4.7,Housing
20090308,5.6,Housing
20090608,7,Housing
20090919,7.9,Housing
20091207,8.2,Housing
20100308,8.8,Housing
20100608,8.9,Housing
20100919,8.4,Housing
20101207,7.8,Housing
20110308,7.6,Housing
20110608,7.5,Housing
20110919,6.9,Housing
20111207,6.8,Housing
20120308,6.9,Housing
20120608,6.7,Housing
20120919,6.3,Housing
20121207,5.9,Housing
20130308,5.6,Housing
20130608,5.4,Housing
20130919,4.9,Housing
20131207,4.3,Housing
20140308,3.9,Housing
20140608,3.7,Housing
20140919,3.4,Housing
20141207,3.2,Housing
20150308,3.1,Housing
20150608,3,Housing
20150919,2.5,Housing
20151207,2.3,Housing
20160308,2.2,Housing
20060608,2.2,Auto
20060919,2.2,Auto
20061207,2.6,Auto
20070308,2.6,Auto
20070608,2.6,Auto
20070919,2.5,Auto
20071207,2.8,Auto
20080308,3.1,Auto
20080608,3.2,Auto
20080919,3.3,Auto
20081207,3.6,Auto
20090308,3.9,Auto
20090608,4.4,Auto
20090919,4.5,Auto
20091207,4.7,Auto
20100308,4.9,Auto
20100608,5,Auto
20100919,4.8,Auto
20101207,4.8,Auto
20110308,5.3,Auto
20110608,5.1,Auto
20110919,5,Auto
20111207,5,Auto
20120308,4.8,Auto
20120608,4.6,Auto
20120919,4.2,Auto
20121207,4.3,Auto
20130308,4,Auto
20130608,3.9,Auto
20130919,3.6,Auto
20131207,3.5,Auto
20140308,3.3,Auto
20140608,3.4,Auto
20140919,3.3,Auto
20141207,3.3,Auto
20150308,3.5,Auto
20150608,3.3,Auto
20150919,3.4,Auto
20151207,3.4,Auto
20160308,3.4,Auto
20060608,8.8,Credit Card
20060919,9,Credit Card
20061207,9.2,Credit Card
20070308,9.7,Credit Card
20070608,9.7,Credit Card
20070919,9.4,Credit Card
20071207,9.3,Credit Card
20080308,9.5,Credit Card
20080608,9.5,Credit Card
20080919,10.2,Credit Card
20081207,9.5,Credit Card
20090308,10.2,Credit Card
20090608,11.4,Credit Card
20090919,11.7,Credit Card
20091207,11.9,Credit Card
20100308,12.7,Credit Card
20100608,13.7,Credit Card
20100919,13.7,Credit Card
20101207,13.2,Credit Card
20110308,13.3,Credit Card
20110608,13.1,Credit Card
20110919,12.2,Credit Card
20111207,11.5,Credit Card
20120308,11.5,Credit Card
20120608,11.3,Credit Card
20120919,10.9,Credit Card
20121207,10.5,Credit Card
20130308,10.6,Credit Card
20130608,10.2,Credit Card
20130919,10,Credit Card
20131207,9.4,Credit Card
20140308,9.5,Credit Card
20140608,8.5,Credit Card
20140919,7.8,Credit Card
20141207,7.5,Credit Card
20150308,7.3,Credit Card
20150608,8.4,Credit Card
20150919,8.4,Credit Card
20151207,8.2,Credit Card
20160308,7.7,Credit Card
20060608,6.4,Student
20060919,6.7,Student
20061207,7.2,Student
20070308,7.1,Student
20070608,6.9,Student
20070919,7.3,Student
20071207,7.6,Student
20080308,7.5,Student
20080608,7.4,Student
20080919,7.6,Student
20081207,7.6,Student
20090308,7.8,Student
20090608,7.9,Student
20090919,8.2,Student
20091207,8.3,Student
20100308,8.5,Student
20100608,8.7,Student
20100919,9,Student
20101207,9.2,Student
20110308,9.1,Student
20110608,9,Student
20110919,9.1,Student
20111207,8.8,Student
20120308,8.5,Student
20120608,8.7,Student
20120919,8.9,Student
20121207,11,Student
20130308,11.7,Student
20130608,11.2,Student
20130919,10.9,Student
20131207,11.8,Student
20140308,11.5,Student
20140608,11,Student
20140919,10.9,Student
20141207,11.1,Student
20150308,11.3,Student
20150608,11.1,Student
20150919,11.5,Student
20151207,11.6,Student
20160308,11.5,Student
