date,amount,category,total,base rate
20060201,-16.66666667,Housing,6.25,7.5
20060501,-14.83870968,Housing,6.6,7.75
20060801,-20.96969697,Housing,6.52,8.25
20061101,-24.36363636,Housing,6.24,8.25
20070201,-23.75757576,Housing,6.29,8.25
20070501,-24.12121212,Housing,6.26,8.25
20070801,-20.36363636,Housing,6.57,8.25
20071101,-24.72727273,Housing,6.21,8.25
20080201,-1.333333333,Housing,5.92,6
20080501,20.8,Housing,6.04,5
20080801,29.6,Housing,6.48,5
20081101,52.25,Housing,6.09,4
20090201,57.84615385,Housing,5.13,3.25
20090501,49.53846154,Housing,4.86,3.25
20090801,59.69230769,Housing,5.19,3.25
20091101,50.15384615,Housing,4.88,3.25
20100201,53.53846154,Housing,4.99,3.25
20100501,50.46153846,Housing,4.89,3.25
20100801,36.30769231,Housing,4.43,3.25
20101101,32.30769231,Housing,4.3,3.25
20110201,52.30769231,Housing,4.95,3.25
20110501,42.76923077,Housing,4.64,3.25
20110801,31.38461538,Housing,4.27,3.25
20111101,22.76923077,Housing,3.99,3.25
20120201,19.69230769,Housing,3.89,3.25
20120501,16.92307692,Housing,3.8,3.25
20120801,10.76923077,Housing,3.6,3.25
20121101,3.076923077,Housing,3.35,3.25
20130201,8.615384615,Housing,3.53,3.25
20130501,8.923076923,Housing,3.54,3.25
20130801,37.23076923,Housing,4.46,3.25
20131101,31.07692308,Housing,4.26,3.25
20140201,32.30769231,Housing,4.3,3.25
20140501,28.92307692,Housing,4.19,3.25
20140801,26.76923077,Housing,4.12,3.25
20141101,23.07692308,Housing,4,3.25
20150201,14.15384615,Housing,3.71,3.25
20150501,18.15384615,Housing,3.84,3.25
20150801,20.30769231,Housing,3.91,3.25
20151101,21.23076923,Housing,3.94,3.25
20160201,4.571428571,Housing,3.66,3.5
20060201,-1.466666667,Auto,7.39,7.5
20060501,-1.935483871,Auto,7.6,7.75
20060801,-3.636363636,Auto,7.95,8.25
20061101,-4,Auto,7.92,8.25
20070201,-6.181818182,Auto,7.74,8.25
20070501,-4,Auto,7.92,8.25
20070801,-5.212121212,Auto,7.82,8.25
20071101,-8,Auto,7.59,8.25
20080201,21.16666667,Auto,7.27,6
20080501,36.8,Auto,6.84,5
20080801,38.4,Auto,6.92,5
20081101,76.5,Auto,7.06,4
20090201,112.9230769,Auto,6.92,3.25
20090501,108.9230769,Auto,6.79,3.25
20090801,103.3846154,Auto,6.61,3.25
20091101,101.5384615,Auto,6.55,3.25
20100201,98.46153846,Auto,6.45,3.25
20100501,92.61538462,Auto,6.26,3.25
20100801,92,Auto,6.24,3.25
20101101,80.61538462,Auto,5.87,3.25
20110201,80,Auto,5.85,3.25
20110501,78.15384615,Auto,5.79,3.25
20110801,81.23076923,Auto,5.89,3.25
20111101,66.15384615,Auto,5.4,3.25
20120201,56,Auto,5.07,3.25
20120501,50.15384615,Auto,4.88,3.25
20120801,50.15384615,Auto,4.88,3.25
20121101,48.30769231,Auto,4.82,3.25
20130201,44.30769231,Auto,4.69,3.25
20130501,27.07692308,Auto,4.13,3.25
20130801,37.23076923,Auto,4.46,3.25
20131101,36,Auto,4.42,3.25
20140201,30.15384615,Auto,4.23,3.25
20140501,38.46153846,Auto,4.5,3.25
20140801,28,Auto,4.16,3.25
20141101,24.92307692,Auto,4.06,3.25
20150201,39.38461538,Auto,4.53,3.25
