date,amount,category,total,
20060608,0,Housing,8.02,0
20060919,4.114713217,Housing,8.35,0.04114713217
20061207,7.855361596,Housing,8.65,0.07855361596
20070308,10.2244389,Housing,8.84,0.102244389
20070608,12.59351621,Housing,9.03,0.1259351621
20070919,16.20947631,Housing,9.32,0.1620947631
20071207,19.20199501,Housing,9.56,0.1920199501
20080308,21.57107232,Housing,9.75,0.2157107232
20080608,23.44139651,Housing,9.9,0.2344139651
20080919,24.06483791,Housing,9.95,0.2406483791
20081207,24.56359102,Housing,9.99,0.2456359102
20090308,24.18952618,Housing,9.96,0.2418952618
20090608,22.81795511,Housing,9.85,0.2281795511
20090919,21.94513716,Housing,9.78,0.2194513716
20091207,20.32418953,Housing,9.65,0.2032418953
20100308,19.07730673,Housing,9.55,0.1907730673
20100608,18.82793017,Housing,9.53,0.1882793017
20100919,17.08229426,Housing,9.39,0.1708229426
20101207,15.71072319,Housing,9.28,0.1571072319
20110308,13.71571072,Housing,9.12,0.1371571072
20110608,14.58852868,Housing,9.19,0.1458852868
20110919,13.96508728,Housing,9.14,0.1396508728
20111207,12.71820449,Housing,9.04,0.1271820449
20120308,10.8478803,Housing,8.89,0.108478803
20120608,9.725685786,Housing,8.8,0.09725685786
20120919,8.97755611,Housing,8.74,0.0897755611
20121207,7.2319202,Housing,8.6,0.072319202
20130308,7.2319202,Housing,8.6,0.072319202
20130608,5.735660848,Housing,8.48,0.05735660848
20130919,4.488778055,Housing,8.38,0.04488778055
20131207,5.112219451,Housing,8.43,0.05112219451
20140308,6.982543641,Housing,8.58,0.06982543641
20140608,8.354114713,Housing,8.69,0.08354114713
20140919,7.481296758,Housing,8.62,0.07481296758
20141207,7.730673317,Housing,8.64,0.07730673317
20150308,8.229426434,Housing,8.68,0.08229426434
20150608,8.229426434,Housing,8.68,0.08229426434
20150919,7.481296758,Housing,8.62,0.07481296758
20151207,9.102244389,Housing,8.75,0.09102244389
20160308,8.97755611,Housing,8.74,0.0897755611
20060608,0,Auto,0.79,0
20060919,1.265822785,Auto,0.8,0.01265822785
20061207,3.797468354,Auto,0.82,0.03797468354
20070308,3.797468354,Auto,0.82,0.03797468354
20070608,0,Auto,0.79,0
20070919,2.53164557,Auto,0.81,0.0253164557
20071207,3.797468354,Auto,0.82,0.03797468354
20080308,2.53164557,Auto,0.81,0.0253164557
20080608,2.53164557,Auto,0.81,0.0253164557
20080919,2.53164557,Auto,0.81,0.0253164557
